id,platform,title,description,category,skills,instructor,rating,num_reviews,price,level,language,duration,url,image_url,scraped_at
coursera_27,Coursera,Data Science Beyond the Basics (ML+DS),"Skills you'll gain: Generative AI, Model Evaluation, Supervised Learning, Generative Model Architectures, AWS SageMaker, Recurrent Neural Networks (RNNs), Unsupervised Learning, Data Preprocessing, Large Language Modeling, Time Series Analysis and Forecasting, LLM Application, Applied Machine Learning, Deep Learning, A/B Testing, Transfer Learning, Python Programming, Machine Learning, Data Analysis, AWS CloudFormation, AI Personalization",Data Science,"data, science",Coursera,,25000.0,Free,Beginner,English,,https://www.coursera.org/specializations/data-science-beyond-the-basics-ml-and-ds,,2026-01-29T14:46:34.975260
coursera_28,Coursera,Data Science: Foundations using R,"Skills you'll gain: Rmarkdown, Exploratory Data Analysis, Version Control, Statistical Analysis, R Programming, Data Manipulation, Data Cleansing, Data Science, Plot (Graphics), Statistical Programming, Statistical Visualization, Ggplot2, Big Data, R (Software), Dimensionality Reduction, Data Integration, Knitr, Data Sharing, GitHub, Machine Learning",Data Science,"data, science",Johns Hopkins University,,48000.0,Free,Beginner,English,,https://www.coursera.org/specializations/data-science-foundations-r,,2026-01-29T14:46:35.169372
coursera_29,Coursera,Master of Science in Data Science,"Skills you'll gain: User Story, New Product Development, Real-Time Operating Systems, Model Based Systems Engineering, Model Evaluation, Field-Programmable Gate Array (FPGA), Failure Analysis, Sustainable Business, Data Mining, Delegation Skills, Object Oriented Design, Sampling (Statistics), Proposal Writing, Supplier Management, Accountability, Data Ethics, Sustainability Reporting, Database Design, Generative AI, Sustainable Design",Data Science,"data, science",University of Colorado Boulder,,,Subscription,,English,,https://www.coursera.org/degrees/master-of-science-data-science-boulder,,2026-01-29T14:46:35.366597
coursera_30,Coursera,Mathematics for Machine Learning,"Skills you'll gain: Linear Algebra, Dimensionality Reduction, NumPy, Regression Analysis, Calculus, Applied Mathematics, Data Preprocessing, Unsupervised Learning, Feature Engineering, Machine Learning Algorithms, Jupyter, Advanced Mathematics, Statistics, Artificial Neural Networks, Algorithms, Mathematical Modeling, Python Programming, Derivatives",Data Science,"data, science",Imperial College London,,15000.0,Free,Beginner,English,,https://www.coursera.org/specializations/mathematics-machine-learning,,2026-01-29T14:46:35.579650
coursera_31,Coursera,IBM Data Analyst,"Skills you'll gain: Exploratory Data Analysis, Data Storytelling, Dashboard, Data Visualization Software, Plotly, Data Visualization, Data Presentation, Interactive Data Visualization, Generative AI, Model Evaluation, SQL, Data Transformation, Data Analysis, Statistical Visualization, IBM Cognos Analytics, Excel Formulas, Professional Networking, Data Import/Export, Microsoft Excel, Python Programming",Data Science,"data, science",IBM,,98000.0,Free,Beginner,English,,https://www.coursera.org/professional-certificates/ibm-data-analyst,,2026-01-29T14:46:35.789720
coursera_32,Coursera,"Python, SQL, Tableau for Data Science","Skills you'll gain: Data Storytelling, Data Presentation, SQL, Data Visualization Software, Database Design, AWS SageMaker, Unsupervised Learning, Data Visualization, Interactive Data Visualization, Dashboard, Feature Engineering, Database Management, Exploratory Data Analysis, A/B Testing, Tableau Software, Pandas (Python Package), Matplotlib, Python Programming, Data Analysis, Machine Learning",Data Science,"data, science",Coursera,,22000.0,Free,Beginner,English,,https://www.coursera.org/professional-certificates/python-sql-tableau-data-science,,2026-01-29T14:46:35.986652
coursera_33,Coursera,The Power of Statistics,"Skills you'll gain: Sampling (Statistics), Statistical Hypothesis Testing, Descriptive Statistics, Advanced Analytics, Data Analysis, Probability Distribution, Statistics, Probability, A/B Testing, Statistical Analysis, Data Science, Statistical Inference, Statistical Programming, Jupyter, Python Programming, Technical Communication",Data Science,"data, science",Google,,870000.0,Free,Advanced,English,,https://www.coursera.org/learn/the-power-of-statistics,,2026-01-29T14:46:36.193654
coursera_34,Coursera,Linear Algebra for Machine Learning and Data Science,"Skills you'll gain: Linear Algebra, NumPy, Dimensionality Reduction, Data Preprocessing, Machine Learning Methods, Advanced Mathematics, Data Manipulation, Applied Mathematics, Mathematical Modeling, Machine Learning, Python Programming, Algebra",Data Science,"data, science",DeepLearning.AI,,2300.0,Free,Intermediate,English,,https://www.coursera.org/learn/machine-learning-linear-algebra,,2026-01-29T14:46:36.406400
coursera_35,Coursera,Statistics For Data Science,"Skills you'll gain: Correlation Analysis, Probability & Statistics, Statistics, Statistical Analysis, Data Analysis, Data Science, Probability Distribution, Descriptive Statistics, Statistical Inference",Data Science,"data, science",Coursera,,41000.0,Subscription,Beginner,English,,https://www.coursera.org/projects/statistics-data-science,,2026-01-29T14:46:36.615690
coursera_36,Coursera,Statistics for Data Science with Python,"Skills you'll gain: Descriptive Statistics, Statistical Analysis, Data Analysis, Probability Distribution, Statistics, Data Visualization, Statistical Methods, Statistical Hypothesis Testing, Regression Analysis, Probability & Statistics, Scientific Visualization, Data Science, Matplotlib, Exploratory Data Analysis, Probability, Correlation Analysis, Pandas (Python Package), Jupyter",Data Science,"data, science",IBM,,453000.0,Free,,English,,https://www.coursera.org/learn/statistics-for-data-science-python,,2026-01-29T14:46:36.826531
