title,partner,rating,reviews,metadata,link,category,scraped_at,source_domain,num_ratings,duration_hours,level_enc,title_clean,popularity_score,id
"Project Management: Tools, Approaches, Behavioural Skills",Politecnico di Milano,4.8,364 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/project-management-tools-approaches-skills,Project Management,2026-01-29T02:33:20.452115,coursera,364,20.0,1,project management tools approaches behavioural skills,28.31950729719596,881
职场修炼：学习、创新、协作与自我实现,University of Science and Technology of China,4.3,130 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/zhichang,Personal Development,2026-01-29T02:44:21.001832,coursera,130,20.0,1,职场修炼学习创新协作与自我实现,20.96334848976495,803
Our Earth's Future,American Museum of Natural History,4.7,818 reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/earth-climate-change,History,2026-01-29T02:48:43.181184,coursera,818,20.0,0,our earths future,31.52799519410943,606
Introduction to Finance: The Basics,University of Illinois Urbana-Champaign,4.7,535 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-finance-the-basics,Finance,2026-01-29T02:35:05.954734,coursera,535,5.0,1,introduction to finance the basics,29.53543055703277,465
Game Design and Development 4: 3D Platformer,Michigan State University,4.7,45 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/game-design-and-development-4,Game Design,2026-01-29T02:43:07.364885,coursera,45,5.0,2,game design and development 4 3d platformer,17.994614563498747,511
"Full-Stack Web Development: PHP, HTML, CSS & JavaScript",Board Infinity,4.5,22 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/full-stack-web-development-php-html-css-and-js,Web Development,2026-01-29T02:29:34.327768,coursera,22,20.0,1,fullstack web development php html css  javascript,14.109723971681174,975
Stanford Introduction to Food and Health,Stanford University,4.7,34K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/food-and-health,Health,2026-01-28T18:46:46.885200,coursera,34000,20.0,1,stanford introduction to food and health,49.04048251017329,98
Build a Medical & Health Website CMS with PHP & MySQL (2026),Morshedul Arefin,5.0,2026,17.5 total hours · 95 lectures · All Levels,https://www.udemy.com/course/build-medical-health-website-cms-using-php-mysql/,Health,2026-01-28T18:53:25.781719,udemy,2026,17.5,0,build a medical  health website cms with php  mysql 2026,38.07156073226,1052
Generative AI for Web Development,Scrimba,4.4,171 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-web-development,Web Development,2026-01-29T02:29:46.941588,coursera,171,20.0,2,generative ai for web development,22.648975697979196,992
Basic English Skills: Hobbies,University of California,4.8,13 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/basic-english-hobbies,Language Learning,2026-01-29T02:46:55.239127,coursera,13,5.0,1,basic english skills hobbies,12.66747518215324,701
Introduction to Cybersecurity Careers,IBM,4.7,1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-cybersecurity-careers,Cybersecurity,2026-01-29T02:30:55.052434,coursera,1000,5.0,1,introduction to cybersecurity careers,32.47114746278154,284
AI and Machine Learning Essentials with Python,University of Pennsylvania,4.5,42 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-machinelearning-essentials,Machine Learning,2026-01-29T02:28:27.891475,coursera,42,20.0,2,ai and machine learning essentials with python,16.925400520621032,727
NASM Personal Fitness Trainer,National Academy of Sports Medicine,4.7,320 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/nasm-personal-fitness-trainer,Health and Fitness,2026-01-28T23:16:33.595842,coursera,320,20.0,1,nasm personal fitness trainer,27.12577327871108,110
ADP Entry-Level Compensation and Benefits Analyst,Automatic Data Processing,4.5,107 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/adp-compensation-benefits-analyst,Human Resources,2026-01-29T02:37:19.113033,coursera,107,20.0,1,adp entrylevel compensation and benefits analyst,21.069590522058988,640
User Interface in Game Design,Epic Games,3.4,22 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/user-interface-in-game-design,Game Design,2026-01-29T02:42:55.314568,coursera,22,5.0,1,user interface in game design,10.660680334159109,495
AI Sound Generation for Business Communication,SkillsBooster Academy,0.0,"Status: NewNewStatus: PreviewPreviewSkillsBooster AcademyAI Sound Generation for Business CommunicationSkills you'll gain: Generative AI, AI Product Strategy, Brand Strategy, Content Creation, Business Communication, Storytelling, Media Production, Brand Awareness, Social Media Content, Digital Design, Business Ethics, Marketing Communications, Creative Thinking, Influencing, Business Transformation, Entrepreneurship, Creative Problem-Solving, Media and Communications, Customer Engagement, Digital MarketingBeginner · Course · 1 - 3 Months",Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/ai-sound-generation-for-business-communication,Music Production,2026-01-29T02:40:58.931197,coursera,0,20.0,1,ai sound generation for business communication,0.0,767
